VIN,ALERT_ID,COLLISION_SPEED,DATA_RECEIVED_TIMESTAMP,RECORDED_AT_TIMESTAMP,DEALER,DELTA_SPEED,EVENT_TYPE,IMPACT_DIRECTION,LOCATIONS,DRIVER_BEHAVIOUR,PEEK_ACCELERATION,SEVERITY,STATUS
7b12387fbb0db2386,0035433a6ca3eeaff6d9f9325a002f05a3ee1e1a8be0090137af62f5d5562981,0,2025-04-28 05:51:10.000,2025-04-28 05:50:43.000,"{
  ""_id"": ""00CD4-9EE36-AA2EB-A6600-01200-3"",
  ""name"": ""Toyota Wrocław Długołęka"",
  ""nmsc"": ""tpl"",
  ""country"": ""pl""
}",4.11,Medium Collision,Rear Impact,"[
  {
    ""position"": 0,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:37.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:38.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:39.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:40.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:41.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": 1.703327256944445e+01,
    ""latitude"": 5.111398871527778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:42.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": 1.703327473958333e+01,
    ""latitude"": 5.111398654513889e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:50:43.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Low"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Low""
}",1.1,92,POTENTIAL
4dbe8ad31537e6f8d,035abb268f527f11d640e9ad7b743cc0274f2b185978e12426e8c2723f555cba,9.45,2025-04-28 09:08:21.000,2025-04-28 09:07:54.000,"{
  ""_id"": ""00CD0-E9EAD-18171-9AA00-01350-3"",
  ""name"": ""TOYOTA VALLADOLID - Exposición y Taller"",
  ""nmsc"": ""tes"",
  ""country"": ""es""
}",4.22,Minor Collision,Front Impact,"[
  {
    ""position"": 0,
    ""longitude"": -4.648654513888889e+00,
    ""latitude"": 4.173280815972223e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:48.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": -4.648669704861111e+00,
    ""latitude"": 4.173278428819444e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:49.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": -4.648684895833333e+00,
    ""latitude"": 4.173276041666666e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:50.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": -4.648697916666666e+00,
    ""latitude"": 4.173273654513889e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:51.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": -4.648708767361111e+00,
    ""latitude"": 4.173271918402778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:52.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": -4.648706597222223e+00,
    ""latitude"": 4.173271918402778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:53.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": -4.648706597222223e+00,
    ""latitude"": 4.173272135416666e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 09:07:54.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Low"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Low""
}",1.21,74,POTENTIAL
f6eb89303336922ee,04458756a800ed61268e37c532c59b3b4bd1c256b6df292b6c8f1aa5992ef885,0,2025-04-28 07:37:03.000,2025-04-28 07:36:45.000,"{
  ""_id"": ""00CD6-2D981-BEA6D-7E000-01350-1"",
  ""name"": ""Bilia Toyota Nacka"",
  ""nmsc"": ""tsw"",
  ""country"": ""se""
}",7.03,Severe Collision,Rear Impact,"[
  {
    ""position"": 0,
    ""longitude"": 1.800171657986111e+01,
    ""latitude"": 5.931626736111111e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:39.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": 1.800171440972222e+01,
    ""latitude"": 5.931626953125000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:40.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": 1.800171440972222e+01,
    ""latitude"": 5.931626953125000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:41.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": 1.800171440972222e+01,
    ""latitude"": 5.931626953125000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:42.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": 1.800171440972222e+01,
    ""latitude"": 5.931626953125000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:43.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": 1.800170789930555e+01,
    ""latitude"": 5.931627604166667e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:44.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": 1.800171440972222e+01,
    ""latitude"": 5.931627604166667e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:36:45.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Low"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Low""
}",1.53,100,POTENTIAL
78ef853b83b6f2abb,05eb7548999aee2123950e1feeeb3ee39cd1c449e2f3e53fc8865af21800abf9,27.73,2025-04-28 10:23:35.000,2025-04-28 10:23:22.000,"{
  ""_id"": ""00CD4-9EE13-5DA92-4CC00-01200-3"",
  ""name"": ""Toyota Łódź"",
  ""nmsc"": ""tpl"",
  ""country"": ""pl""
}",9.49,Medium Collision,Front Impact,"[
  {
    ""position"": 0,
    ""longitude"": 1.953133029513889e+01,
    ""latitude"": 5.187765190972222e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:16.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": 1.953137586805556e+01,
    ""latitude"": 5.187760199652778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:17.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": 1.953144314236111e+01,
    ""latitude"": 5.187752821180555e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:18.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": 1.953153211805556e+01,
    ""latitude"": 5.187743706597222e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:19.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": 1.953162326388889e+01,
    ""latitude"": 5.187733723958333e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:20.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": 1.953165798611111e+01,
    ""latitude"": 5.187728949652778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:21.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": 1.953165581597222e+01,
    ""latitude"": 5.187728949652778e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 10:23:22.000 Z""
  }
]","{
  ""acceleratorUsage"": ""High"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Medium""
}",1.43,81,POTENTIAL
f38493b939ddbfdb5,0aac476788f84b88408dddd54ff2421bc2c4adca69080fbd48cca272149e28f8,2.19,2025-04-28 07:48:30.000,2025-04-28 07:47:39.000,"{
  ""_id"": ""00CD0-E9EAD-1837A-86200-01260-3"",
  ""name"": ""JAPAND 21, S.L.U. (Girona) - Exposición y Taller"",
  ""nmsc"": ""tes"",
  ""country"": ""es""
}",2.14,Severe Collision,Rear Impact,"[
  {
    ""position"": 0,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:33.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:34.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:35.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:36.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:37.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:38.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 07:47:39.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Low"",
  ""breakUsage"": ""Medium"",
  ""steerUsage"": ""Low""
}",1.5,97,POTENTIAL
a67f5eaad6e3c87f3,0ba2a5e19e985c5b5d723c94d918f87b7f5974a6c5252a87be553bd68ade49a7,3.81,2025-04-28 12:50:58.000,2025-04-28 12:48:37.000,"{
  ""_id"": ""00CD6-2D94F-0310B-53200-01360-1"",
  ""name"": ""Europeiska Motor, Vällingby"",
  ""nmsc"": ""tsw"",
  ""country"": ""se""
}",2.11,Minor Collision,Rear Impact,"[
  {
    ""position"": 0,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:31.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:32.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": 1.780633246527778e+01,
    ""latitude"": 5.946430338541666e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:33.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": 1.780633246527778e+01,
    ""latitude"": 5.946430338541666e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:34.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": 1.780633246527778e+01,
    ""latitude"": 5.946430338541666e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:35.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:36.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": 0.000000000000000e+00,
    ""latitude"": 0.000000000000000e+00,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 12:48:37.000 Z""
  }
]","{
  ""acceleratorUsage"": ""High"",
  ""breakUsage"": ""Medium"",
  ""steerUsage"": ""Medium""
}",1.5,76,POTENTIAL
3ec6da1611fd381c2,0d8fbd1c29c6950f6c50f36c3fddb004fd153844f1c59137fce24130e4f66446,,2025-04-29 01:26:44.000,2025-04-29 00:36:47.000,"{
  ""_id"": ""03e89375-ca1f-4f72-ab6d-c10b7bcec37a"",
  ""name"": ""Vertu Toyota (Rotherham)"",
  ""nmsc"": ""tgb"",
  ""country"": ""gb""
}",,eCall,,"[
  {
    ""position"": 0,
    ""longitude"": -1.153630000000000e+00,
    ""latitude"": 5.333159600000000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-29 00:36:47.000 Z""
  }
]","{
  ""acceleratorUsage"": null,
  ""breakUsage"": null,
  ""steerUsage"": null
}",,,COLLISION_CONFIRMED
d25592ca9a95e57e2,124205eabf132b9a601a024f17b7ceee40d76eede3c6f07232fe681cd532cf27,15.48,2025-04-28 11:06:55.000,2025-04-28 11:03:25.000,"{
  ""_id"": ""00CD0-E9EAD-17302-A2E00-01260-3"",
  ""name"": ""BREOGAN MOTOR, S.L. (La Coruña) - Taller"",
  ""nmsc"": ""tes"",
  ""country"": ""es""
}",7,Minor Collision,Front Impact,"[
  {
    ""position"": 0,
    ""longitude"": -7.867690972222222e+00,
    ""latitude"": 4.234179036458333e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:19.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": -7.867673611111111e+00,
    ""latitude"": 4.234175130208333e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:20.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": -7.867658420138889e+00,
    ""latitude"": 4.234171006944445e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:21.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": -7.867643229166666e+00,
    ""latitude"": 4.234166666666667e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:22.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": -7.867623697916667e+00,
    ""latitude"": 4.234162326388889e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:23.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": -7.867621527777778e+00,
    ""latitude"": 4.234161675347222e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:24.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": -7.867621527777778e+00,
    ""latitude"": 4.234161675347222e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 11:03:25.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Low"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Low""
}",1.3,70,POTENTIAL
92bc40a23aa1e8439,1536c68df9c257cddb1da19369bba62791a8731d9381355a1fe21335b3717e2c,,2025-04-28 09:05:00.000,2025-04-28 08:00:15.000,"{
  ""_id"": ""00CD4-9EE2D-FE7E9-B2C00-01260-3"",
  ""name"": ""Toyota Toruń"",
  ""nmsc"": ""tpl"",
  ""country"": ""pl""
}",,eCall,,"[
  {
    ""position"": 0,
    ""longitude"": 1.742583700000000e+01,
    ""latitude"": 5.315853900000000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 08:00:15.000 Z""
  }
]","{
  ""acceleratorUsage"": null,
  ""breakUsage"": null,
  ""steerUsage"": null
}",,,COLLISION_CONFIRMED
9aa610638302ffb2c,15c3cf79ddeb8e877eaad1869ecf2c2bd3266d8c97dda7fe2595fe46ca0cd27f,0,2025-04-28 05:48:10.000,2025-04-28 05:46:54.000,"{
  ""_id"": ""00CD0-E9EAD-18971-B1A00-01260-3"",
  ""name"": ""TOYOTA VALENCIA (Sakurauto S.A.) - Exposición y Taller"",
  ""nmsc"": ""tes"",
  ""country"": ""es""
}",8.59,Severe Collision,Rear Impact,"[
  {
    ""position"": 0,
    ""longitude"": -8.974392361111111e-02,
    ""latitude"": 3.998425781250000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:48.000 Z""
  },
  {
    ""position"": 1,
    ""longitude"": -8.974392361111111e-02,
    ""latitude"": 3.998425781250000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:49.000 Z""
  },
  {
    ""position"": 2,
    ""longitude"": -8.973741319444445e-02,
    ""latitude"": 3.998425564236111e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:50.000 Z""
  },
  {
    ""position"": 3,
    ""longitude"": -8.973741319444445e-02,
    ""latitude"": 3.998425564236111e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:51.000 Z""
  },
  {
    ""position"": 4,
    ""longitude"": -8.973958333333333e-02,
    ""latitude"": 3.998425564236111e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:52.000 Z""
  },
  {
    ""position"": 5,
    ""longitude"": -8.973958333333333e-02,
    ""latitude"": 3.998425781250000e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:53.000 Z""
  },
  {
    ""position"": 6,
    ""longitude"": -8.971788194444444e-02,
    ""latitude"": 3.998424479166667e+01,
    ""unit"": ""DEGREES"",
    ""recordedAtTimestamp"": ""2025-04-28 05:46:54.000 Z""
  }
]","{
  ""acceleratorUsage"": ""Medium"",
  ""breakUsage"": ""High"",
  ""steerUsage"": ""Low""
}",1.56,100,POTENTIAL
