_ID,COUNTRYCODE,VIN,WARNING_WARNINGLIGHTTYPE_CODE,WARNING_WARNINGLIGHTTYPE_DESCRIPTION,WARNING_WARNINGLIGHTTYPE_SYMBOL,WARNING_WARNINGLIGHTTYPE_PRIORITY,WARNING_TIMESTAMP,WARNING_MILEAGE_VALUE,WARNING_MILEAGE_UNIT,PRIORITY
VF4009228446-02-003,pl,97d8b62c311ae055c,2,Low Washer Fluid,WASH,4,2024-08-02 14:04:02.000,71448,KM,Information
VF4009269837-01-018,it,3d08c38acfa4f6bfe,18,Vehicle Proximity Notification System,VPNW,2,2024-08-02 11:04:54.000,100525,KM,Major
VF4009248914-01-003,lt,991533b2f2c87e553,2,Low Washer Fluid,WASH,4,2024-08-02 07:36:38.000,70964,KM,Information
VF4009263314-01-003,lt,f38493b939ddbfdb5,2,Low Washer Fluid,WASH,4,2024-08-02 09:59:56.000,70978,KM,Information
VF4009270151-01-003,lt,6757761a2cc66cb8a,2,Low Washer Fluid,WASH,4,2024-08-02 11:07:13.000,70990,KM,Information
VF4009286192-01-003,lt,2e378ae1abd63536a,2,Low Washer Fluid,WASH,4,2024-08-02 13:49:18.000,70998,KM,Information
VF4009298630-01-003,lt,b4eedf7386ddff283,2,Low Washer Fluid,WASH,4,2024-08-02 15:53:56.000,71007,KM,Information
VF4009255888-01-003,fr,9aa610638302ffb2c,2,Low Washer Fluid,WASH,4,2024-08-02 08:48:54.000,52161,KM,Information
VF4009261718-02-003,fr,8d7fac5b9fae0c1be,2,Low Washer Fluid,WASH,4,2024-08-02 15:02:50.000,52218,KM,Information
VF4009296424-01-003,fr,574a18946a8db42cb,2,Low Washer Fluid,WASH,4,2024-08-02 15:30:50.000,52275,KM,Information
VF4009295992-01-012,fr,81f1c73c7790ef072,12,Anti-Lock Brake System,ABSW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-013,fr,2a6e437bc4a28c087,13,Vehicle Stability Control System,VSCW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-017,fr,fa0374c5ad08e6626,73,Secondary Crash Brake System,MCMW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-029,fr,53408a38a82ece0ac,24,Brake System,BRW,1,2024-08-02 15:26:53.000,96672,KM,Critical
VF4009295992-01-031,fr,af13318e1e64b7008,78,Electronically Controlled Brake System,ECBW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-032,fr,dde289b49079aad2d,25,All-Wheel Drive System warning,FWW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-045,fr,2e378ae1abd63536a,103,Pre-Collision System,MET_PCSW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-052,fr,e3f67149a5f424e2c,84,Parking Brake System,EPBW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-082,fr,6c7c120f1828d83f7,59,Blind Spot Monitor System,BSDW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-092,fr,b34bff266953ac2cd,106,Drive-Start Control System,GOSW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-096,fr,2721d00ca143437a0,108,Sonar System,ASSW,2,2024-08-02 15:26:53.000,96672,KM,Major
VF4009295992-01-119,fr,64bc865fb27b7bf96,92,Rear Cross Traffic Alert system warning,RCTW,3,2024-08-02 15:26:53.000,96672,KM,Minor
VF4009289049-01-003,pl,e25cc4c366a1db923,2,Low Washer Fluid,WASH,4,2024-08-02 14:17:30.000,67504,KM,Information
VF4009269170-01-052,ee,a91c394a5fe0ab096,84,Parking Brake System,EPBW,2,2024-08-02 10:58:01.000,45235,KM,Major
VF4009312662-01-003,pl,9982fd6aedc8f4ad5,2,Low Washer Fluid,WASH,4,2024-08-02 19:42:06.000,47042,KM,Information
VF4009248086-02-003,pl,cd168ffecf6799472,2,Low Washer Fluid,WASH,4,2024-08-02 07:55:14.000,26431,KM,Information
